Brew pilot check: Dustin's 15 brews under k3 and kp3   (2026-09-25 07:16)

Diagnostic add-on /home/dacz8976/diag-kp-addon/module/pdl_rl_env.abi3.so sha256 c048388b4bcf7103375ea0a1e7c9e965be8e350000c3ac873bd111b69e1eae19 (engine at c7cb688; not the verified 0.7.2 wheel).
100 paired deals per matchup, seeds 21,050,000,000 + brew x 1,000,000 + opponent x 10,000 + i. Games that did not replay exactly or raised an error: 0 of 24,000; a deal counts only when all three rows' games are clean.

Rows are brew pilot | opponent pilot. The brew's win % in each row; two paired differences (95% interval):
  'pilot' = kp3|k3 - k3|k3 (what k3 understates, against k3 opponents);
  'meta'  = kp3|kp3 - kp3|k3 (does it move again when the meta side prices too).
Per brew turn where Thieving Incisors (TI) / Copycat was on offer: turns the brew used it / turns on offer.

  brew v opponent                     n  k3|k3  kp3|k3  kp3|kp3         pilot          meta        TI k3|k3    TI kp3|k3   TI kp3|kp3    Copycat k3|k3 Copycat kp3|k3
  06-mega-blaziken- v lucario       100   56.0    53.0      nan    -3.0 ±8.1     +nan ±nan              0/0          0/0            —       31/258 12%    105/166 63%
  06-mega-blaziken- v sceptile      100   61.0    70.0      nan    +9.0 ±10.1    +nan ±nan              0/0          0/0            —       29/290 10%    102/175 58%
  06-mega-blaziken- v suicune       100   57.0    63.0      nan    +6.0 ±10.4    +nan ±nan              0/0          0/0            —        27/300 9%    113/188 60%
  06-mega-blaziken- v vespiquen     100   73.0    85.0      nan   +12.0 ±7.5     +nan ±nan              0/0          0/0            —        20/343 6%    115/212 54%
  06-mega-blaziken- v weezing       100   52.0    61.0      nan    +9.0 ±10.5    +nan ±nan              0/0          0/0            —       28/274 10%    109/183 60%
  06-mega-blaziken- v all eight     800   57.6    64.1      nan    +6.5 ±3.3     +nan ±nan              0/0          0/0            —     234/2376 10%   878/1532 57%

  07-skarmory-stall v altaria       100   58.0    58.0      nan    +0.0 ±0.0     +nan ±nan              0/0          0/0            —              0/0            0/0
  07-skarmory-stall v blaziken      100   26.0    26.0      nan    +0.0 ±0.0     +nan ±nan              0/0          0/0            —              0/0            0/0
  07-skarmory-stall v hydreigon     100   84.0    84.0      nan    +0.0 ±0.0     +nan ±nan              0/0          0/0            —              0/0            0/0
  07-skarmory-stall v lucario       100   32.0    32.0      nan    +0.0 ±0.0     +nan ±nan              0/0          0/0            —              0/0            0/0
  07-skarmory-stall v sceptile      100   28.0    28.0      nan    +0.0 ±0.0     +nan ±nan              0/0          0/0            —              0/0            0/0
  07-skarmory-stall v suicune       100   71.0    71.0      nan    +0.0 ±0.0     +nan ±nan              0/0          0/0            —              0/0            0/0
  07-skarmory-stall v vespiquen     100   43.0    43.0      nan    +0.0 ±0.0     +nan ±nan              0/0          0/0            —              0/0            0/0
  07-skarmory-stall v weezing       100   69.0    69.0      nan    +0.0 ±0.0     +nan ±nan              0/0          0/0            —              0/0            0/0
