Brew pilot check: Dustin's 24 brews under k3 and kp3   (2026-09-25 10:08)

Diagnostic add-on /home/dacz8976/diag-kp-addon/module/pdl_rl_env.abi3.so sha256 c048388b4bcf7103375ea0a1e7c9e965be8e350000c3ac873bd111b69e1eae19 (engine at c7cb688; not the verified 0.7.2 wheel).
60 paired deals per matchup, seeds 21,070,000,000 + brew x 1,000,000 + opponent x 10,000 + i. Games that did not replay exactly or raised an error: 0 of 23,040; a deal counts only when all 2 rows' games are clean.

Rows are brew pilot | opponent pilot. The brew's win % in each row; three paired differences (95% interval):
  'pilot' = kp3|k3 - k3|k3 (what k3 understates, against k3 opponents);
  'meta'  = kp3|kp3 - kp3|k3 (does it move again when the meta side prices too);
  'both'  = kp3|kp3 - k3|k3 (kp3 on both sides against k3 on both sides).
Per brew turn where Thieving Incisors (TI) / Copycat was on offer: turns the brew used it / turns on offer.

  brew v opponent                       n  k3|k3  kp3|k3  kp3|kp3         pilot          meta          both        TI k3|k3    TI kp3|k3   TI kp3|kp3    Copycat k3|k3 Copycat kp3|k3
  brew-09-sableye-obsta v blaziken     60   61.7     nan     61.7    +nan ±nan     +nan ±nan     +0.0 ±14.7             0/0            —          0/0       21/185 11%              —
  brew-09-sableye-obsta v hydreigon    60   80.0     nan     56.7    +nan ±nan     +nan ±nan    -23.3 ±15.7             0/0            —          0/0       31/215 14%              —
  brew-09-sableye-obsta v lucario      60   60.0     nan     48.3    +nan ±nan     +nan ±nan    -11.7 ±13.3             0/0            —          0/0       20/175 11%              —
  brew-09-sableye-obsta v sceptile     60   30.0     nan     30.0    +nan ±nan     +nan ±nan     +0.0 ±11.4             0/0            —          0/0       22/156 14%              —
  brew-09-sableye-obsta v suicune      60   38.3     nan     45.0    +nan ±nan     +nan ±nan     +6.7 ±13.9             0/0            —          0/0       22/173 13%              —
  brew-09-sableye-obsta v vespiquen    60   35.0     nan     31.7    +nan ±nan     +nan ±nan     -3.3 ±12.3             0/0            —          0/0       38/165 23%              —
  brew-09-sableye-obsta v weezing      60   41.7     nan     43.3    +nan ±nan     +nan ±nan     +1.7 ±12.8             0/0            —          0/0       26/158 16%              —
  brew-09-sableye-obsta v all eight   480   51.0     nan     47.3    +nan ±nan     +nan ±nan     -3.8 ±4.9              0/0            —          0/0     215/1421 15%              —

  brew-10-diancie-girat v altaria      60   46.7     nan     38.3    +nan ±nan     +nan ±nan     -8.3 ±13.4             0/0            —          0/0       24/197 12%              —
