dataset,archetype,deck_name,opponent,opponent_deck_name,W,L,T,DL,n,score_pct,band95_pts,lo_pct,hi_pct,W_bo1,L_bo1,T_bo1,DL_bo1,n_bo1,score_bo1_pct,band95_bo1_pts,n_incl_dl,score_incl_dl_pct
pooled,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,blaziken,Mega Blaziken ex,12,6,0,0,18,66.7,21.8,44.9,88.4,9,5,0,0,14,64.3,25.1,18,66.7
pooled,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,panel_equal_weight,8 of 8 opponents with n>0,100,153,4,12,257,41.2,,,,72,113,4,8,189,,,269,
pooled,raticate_ninetales,Team Rocket's Raticate ex Alolan Ninetales ex,panel_pooled,all panel matches pooled (match-weighted),100,153,4,12,257,39.7,6.0,33.7,45.7,72,113,4,8,189,39.2,7.0,269,40.1
pooled,hoopa_absol,Hoopa ex Mega Absol ex,lucario,Mega Lucario ex Lucario,41,53,1,3,95,43.7,10.0,33.7,53.7,25,32,1,2,58,44.0,12.8,98,43.9
pooled,hoopa_absol,Hoopa ex Mega Absol ex,altaria,Mega Altaria ex Espeon,95,35,10,3,140,71.4,7.5,63.9,78.9,48,26,10,3,84,63.1,10.3,143,71.0
pooled,hoopa_absol,Hoopa ex Mega Absol ex,sceptile,Butterfree Mega Sceptile ex,24,50,3,2,77,33.1,10.5,22.6,43.6,19,28,3,2,50,41.0,13.6,79,33.5
pooled,hoopa_absol,Hoopa ex Mega Absol ex,vespiquen,Vespiquen ex Shuckle ex,12,38,3,1,53,25.5,11.7,13.7,37.2,5,22,2,0,29,20.7,14.7,54,25.9
pooled,hoopa_absol,Hoopa ex Mega Absol ex,suicune,Suicune ex Baxcalibur,25,25,1,1,51,50.0,13.7,36.3,63.7,14,15,1,1,30,48.3,17.9,52,50.0
pooled,hoopa_absol,Hoopa ex Mega Absol ex,hydreigon,Hydreigon Mega Absol ex,32,15,1,2,48,67.7,13.2,54.5,80.9,15,11,1,2,27,57.4,18.7,50,67.0
pooled,hoopa_absol,Hoopa ex Mega Absol ex,weezing,Team Rocket's Weezing ex Hoopa ex,13,20,0,1,33,39.4,16.7,22.7,56.1,9,15,0,1,24,37.5,19.4,34,39.7
pooled,hoopa_absol,Hoopa ex Mega Absol ex,blaziken,Mega Blaziken ex,16,7,1,0,24,68.8,18.5,50.2,87.3,8,6,1,0,15,56.7,25.1,24,68.8
pooled,hoopa_absol,Hoopa ex Mega Absol ex,panel_equal_weight,8 of 8 opponents with n>0,258,243,20,13,521,49.9,,,,143,155,19,11,317,,,534,
pooled,hoopa_absol,Hoopa ex Mega Absol ex,panel_pooled,all panel matches pooled (match-weighted),258,243,20,13,521,51.4,4.3,47.1,55.7,143,155,19,11,317,48.1,5.5,534,51.4
pooled,garchomp,Garchomp,lucario,Mega Lucario ex Lucario,13,18,4,1,35,42.9,16.4,26.5,59.3,11,14,4,1,29,44.8,18.1,36,43.1
pooled,garchomp,Garchomp,altaria,Mega Altaria ex Espeon,9,9,0,0,18,50.0,23.1,26.9,73.1,7,9,0,0,16,43.8,24.3,18,50.0
pooled,garchomp,Garchomp,sceptile,Butterfree Mega Sceptile ex,5,10,0,0,15,33.3,23.9,9.5,57.2,5,8,0,0,13,38.5,26.4,15,33.3
pooled,garchomp,Garchomp,vespiquen,Vespiquen ex Shuckle ex,8,10,0,1,18,44.4,23.0,21.5,67.4,7,8,0,1,15,46.7,25.2,19,44.7
pooled,garchomp,Garchomp,suicune,Suicune ex Baxcalibur,7,14,0,1,21,33.3,20.2,13.2,53.5,6,8,0,1,14,42.9,25.9,22,34.1
pooled,garchomp,Garchomp,hydreigon,Hydreigon Mega Absol ex,4,9,0,0,13,30.8,25.1,5.7,55.9,2,6,0,0,8,25.0,30.0,13,30.8
pooled,garchomp,Garchomp,weezing,Team Rocket's Weezing ex Hoopa ex,2,13,1,0,16,15.6,17.8,0.0,33.4,2,7,1,0,10,25.0,26.8,16,15.6
pooled,garchomp,Garchomp,blaziken,Mega Blaziken ex,1,9,0,0,10,10.0,18.6,0.0,28.6,0,8,0,0,8,0.0,0.0,10,10.0
pooled,garchomp,Garchomp,panel_equal_weight,8 of 8 opponents with n>0,49,92,5,3,146,32.5,,,,40,68,5,3,113,,,149,
pooled,garchomp,Garchomp,panel_pooled,all panel matches pooled (match-weighted),49,92,5,3,146,35.3,7.8,27.5,43.0,40,68,5,3,113,37.6,8.9,149,35.6
pooled,whimsicott_ariados,Whimsicott ex Ariados,lucario,Mega Lucario ex Lucario,6,10,0,1,16,37.5,23.7,13.8,61.2,3,6,0,1,9,33.3,30.8,17,38.2
pooled,whimsicott_ariados,Whimsicott ex Ariados,altaria,Mega Altaria ex Espeon,1,3,0,2,4,25.0,42.4,0.0,67.4,0,3,0,2,3,0.0,0.0,6,33.3
pooled,whimsicott_ariados,Whimsicott ex Ariados,sceptile,Butterfree Mega Sceptile ex,1,4,0,1,5,20.0,35.1,0.0,55.1,1,2,0,1,3,33.3,53.3,6,25.0
