archetype,rank_sept10,rank_window,dustin,player,display_name,event_id,event_name,event_size,date,placing,drop,record,deck_id,cards_carried,url
Mega Lucario ex Lucario,1,1,False,novamaygray,NovaMayGray,6a9836ffa4272c53be644df4,Trinity Tournament 2,23,2026-09-05,9,,1-1-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9836ffa4272c53be644df4/player/novamaygray/decklist
Mega Lucario ex Lucario,1,1,False,radarada,RadaRada,6a9836ffa4272c53be644df4,Trinity Tournament 2,23,2026-09-05,9,,1-1-0,mega-lucario-ex-b3-lucario-a2,Rocky Helmet x1,https://play.limitlesstcg.com/tournament/6a9836ffa4272c53be644df4/player/radarada/decklist
Mega Lucario ex Lucario,1,1,False,flameking3,FLAMEKING3,6a981923a4272c53be644ca8,DR. KELP’S CHUM BUCKET POP UP,31,2026-09-02,10,,4-1-2,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a981923a4272c53be644ca8/player/flameking3/decklist
Mega Lucario ex Lucario,1,1,False,elatomico,PGX| El Atomico,6a9d55b3ab080c8c957fbaa6,OTS Pokemon TCG Pocket Arena Pop Up | $5 USD,65,2026-09-06,11,,4-2-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a9d55b3ab080c8c957fbaa6/player/elatomico/decklist
Mega Lucario ex Lucario,1,1,False,atemus95gr,Atemus95Gr,6a96b86babb948223750549c,Dark League Pop Up,46,2026-09-01,11,,5-3-0,mega-lucario-ex-b3-lucario-a2,Rocky Helmet x1,https://play.limitlesstcg.com/tournament/6a96b86babb948223750549c/player/atemus95gr/decklist
Mega Lucario ex Lucario,1,1,False,aldous,Aldous,6a8b75058302ae761e5fab7e,FAREWELL B4!|2x Hoopa ex RR Prize+More!|TH Series,81,2026-08-26,12,,5-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a8b75058302ae761e5fab7e/player/aldous/decklist
Mega Lucario ex Lucario,1,1,False,dietdrkelp,𝗠𝗢𝗡⭐️| Suede,6ab3aa2de905c1db68748664,TH Event's Presents: When DX Pack?!|5$ + FA's!,68,2026-09-23,12,,5-2-1,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6ab3aa2de905c1db68748664/player/dietdrkelp/decklist
Mega Lucario ex Lucario,1,1,False,flameking3,FLAMEKING3,6a8c5eb881741245b151d7e3,PMPT #44 - TEAM ROCKETS AMBITION!!! | $100 USD,378,2026-08-29,13,,8-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a8c5eb881741245b151d7e3/player/flameking3/decklist
Mega Lucario ex Lucario,1,1,False,noobslybot_01,PLASMA| Moira,6a981923a4272c53be644ca8,DR. KELP’S CHUM BUCKET POP UP,31,2026-09-02,13,,4-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6a981923a4272c53be644ca8/player/noobslybot_01/decklist
Mega Lucario ex Lucario,1,1,False,micg,micg,6aabc43df1243e65f9803602,DR KELP’S CHUM BUCKET POP UP,29,2026-09-17,13,,3-3-0,mega-lucario-ex-b3-lucario-a2,Protective Poncho x1,https://play.limitlesstcg.com/tournament/6aabc43df1243e65f9803602/player/micg/decklist
