deck	card	kind	games	games_offered	games_played	offered_turns	offered_turns_free	played_turns	play_rate
brews/brew-06-pyukumuku-silvally-payback	Rocky Helmet	Tool	240	190	179	202	202	179	0.886
brews/brew-06b-pyukumuku-silvally-scyther-grass	Copycat	Supporter	240	213	179	462	317	238	0.751
brews/brew-06b-pyukumuku-silvally-scyther-grass	Cyrus	Supporter	240	63	46	67	54	46	0.852
brews/brew-06b-pyukumuku-silvally-scyther-grass	Gladion	Supporter	240	168	118	249	139	118	0.849
brews/brew-06b-pyukumuku-silvally-scyther-grass	Poké Ball	Item	240	223	211	352	352	290	0.824
brews/brew-06b-pyukumuku-silvally-scyther-grass	Professor's Research	Supporter	240	205	190	361	291	287	0.986
brews/brew-06b-pyukumuku-silvally-scyther-grass	Protective Poncho	Tool	240	178	169	216	216	169	0.782
brews/brew-06b-pyukumuku-silvally-scyther-grass	Red	Supporter	240	177	64	440	215	64	0.298
brews/brew-06b-pyukumuku-silvally-scyther-grass	Rocky Helmet	Tool	240	182	167	248	248	167	0.673
brews/brew-07-hoopa-darkrai-sableye	Copycat	Supporter	240	162	114	258	177	114	0.644
brews/brew-07-hoopa-darkrai-sableye	Cyrus	Supporter	240	184	140	309	257	176	0.685
brews/brew-07-hoopa-darkrai-sableye	Deceptive Needle	Tool	240	218	211	423	423	304	0.719
brews/brew-07-hoopa-darkrai-sableye	Field Blower	Item	240	170	126	326	326	126	0.387
brews/brew-07-hoopa-darkrai-sableye	Lucky Ice Pop	Item	240	203	191	324	324	282	0.870
brews/brew-07-hoopa-darkrai-sableye	Poké Ball	Item	240	216	204	342	342	253	0.740
brews/brew-07-hoopa-darkrai-sableye	Pokémon Center Lady	Supporter	240	155	118	225	157	118	0.752
brews/brew-07-hoopa-darkrai-sableye	Professor's Research	Supporter	240	196	190	341	295	281	0.953
brews/brew-07-hoopa-darkrai-sableye	Repel	Item	240	140	101	196	196	101	0.515
brews/brew-07-hoopa-darkrai-sableye	Starting Plains	Stadium	240	172	154	232	232	154	0.664
brews/brew-07-hoopa-darkrai-sableye	X Speed	Item	240	168	83	448	448	83	0.185
brews/brew-08-entei-rainbow-cave	Copycat	Supporter	240	233	153	769	394	195	0.495
brews/brew-08-entei-rainbow-cave	Cyrus	Supporter	240	127	105	147	123	105	0.854
brews/brew-08-entei-rainbow-cave	Flame Patch	Item	240	208	203	318	318	255	0.802
brews/brew-08-entei-rainbow-cave	Giant Cape	Tool	240	237	235	417	417	383	0.918
brews/brew-08-entei-rainbow-cave	Lucky Ice Pop	Item	240	227	223	432	432	395	0.914
brews/brew-08-entei-rainbow-cave	Poké Ball	Item	240	206	132	352	352	132	0.375
brews/brew-08-entei-rainbow-cave	Pokémon Center Lady	Supporter	240	204	152	333	184	152	0.826
brews/brew-08-entei-rainbow-cave	Professor's Research	Supporter	240	224	213	478	359	344	0.958
brews/brew-08-entei-rainbow-cave	Rainbow Cave	Stadium	240	236	92	995	995	96	0.096
brews/brew-08-entei-rainbow-cave	Repel	Item	240	194	140	240	240	140	0.583
brews/brew-08-entei-rainbow-cave	Sabrina	Supporter	240	219	167	405	243	167	0.687
brews/brew-08-entei-rainbow-cave	Starting Plains	Stadium	240	218	197	353	353	197	0.558
brews/brew-09-sableye-obstagoon	Copycat	Supporter	240	204	171	467	335	228	0.681
brews/brew-09-sableye-obstagoon	Cyrus	Supporter	240	51	42	55	50	42	0.840
brews/brew-09-sableye-obstagoon	Deceptive Needle	Tool	240	178	153	250	250	153	0.612
brews/brew-09-sableye-obstagoon	Field Blower	Item	240	172	107	339	339	107	0.316
brews/brew-09-sableye-obstagoon	Giant Cape	Tool	240	185	175	195	195	175	0.897
brews/brew-09-sableye-obstagoon	Poké Ball	Item	240	218	200	384	384	249	0.648
